cod,logradouro,numero,complemento,lat,lon
N001,RUA CONSELHEIRO XAVIER,100,QUADRA 5 LOTE 3,-30.03293,-51.23
N002,RUA CONSELHEIRO XAVIER,244,BLOCO B APARTAMENTO 201,-30.03518,-51.23
N003,AVENIDA DOUTOR PEREIRA,250,CASA FUNDOS,-30.03743,-51.23
N004,TRAVESSA EXPEDICIONARIOS MARTINS,30,SOBRELOJA 2,-30.03968,-51.23
N005,TRAVESSA EXPEDICIONARIOS MARTINS,77,QUADRA 12 LOTE 5,-30.04193,-51.23
N006,RUA SANTOS DUMONT,410,APARTAMENTO 12,-30.04418,-51.23
N007,RUA XAVIER DA SILVA,88,,-30.04643,-51.23
N008,AVENIDA 15 DE NOVEMBRO,S/N,,-30.04868,-51.23
N009,NUCLEO BOM JESUS,15,CASA 3,-30.05093,-51.23
N010,RUA MARECHAL DEODORO,1200,TORRE A APARTAMENTO 902,-30.05318,-51.23
N011,AVENIDA BEIRA MAR,500,,-30.05543,-51.23
N012,RUA MEIA PRAIA,20,,-30.05768,-51.23
N013,RUA CONSELHEIRO XAVIER,12B,,-30.05993,-51.23
